Output file with parasite drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ..................  80.0 m2 
  ASPECT RATIO ....................   8.6    
  WING SWEEP ......................  23.0 deg
  WING THICKNESS RATIO ............  0.11    
  INDUCED DRAG EFFICIENCY FACTOR .. 0.798    
  MEAN AEROD. CHORD ............... 3.311 m 
  REYNOLDS NUMBER .................  12.0 millions
  MACH NUMBER ..................... 0.300    


            COMPONENT                 |      CDO      |  WETTED AREA  |  FORM FACTOR  | FLAT PLATE CF.| REYNOLDS FACT.| COMPRES. FACT.|
                                      |      [-]      |      [m2]     |      [-]      |      [-]      |      [-]      |      [-]      |
                                      |               |               |               |               |               |               |
 vertical_stabilizer                  |    0.00138    |       32.0    |      1.210    |    0.00286    |      0.996    |      0.990    |
 main_wing                            |    0.00718    |      160.0    |      1.249    |    0.00288    |      0.996    |      0.990    |
 horizontal_stabilizer                |    0.00213    |       46.5    |      1.216    |    0.00301    |      0.996    |      0.990    |
 Pylon (TOTAL)                        |    0.00030    |        7.0    |      1.185    |    0.00291    |      0.996    |      0.990    |
 fuselage                             |    0.00803    |      280.0    |      1.106    |    0.00207    |      0.996    |      0.990    |
 turbofan  (EACH)                     |    0.00076    |       17.6    |      1.185    |    0.00291    |      0.996    |      0.990    |
 Miscellaneous Drag                   |    0.00131    |        -      |        -      |        -      |        -      |        -      |
 Drag Coefficient Increment           |    0.00000    |        -      |        -      |        -      |        -      |        -      |
                                      |               |               |               |               |               |               |
                             SUM 	  |    0.02185    |      560.7    |               |               |               |               |


-------------------------------------------
 Thursday, 20. September 2018 03:28:34 PM
